period,year,month,entity_scope,entity_id,metric_id,value_percent,comparability_class,coverage_status,metric_definition,source_artifact,source_url,extracted_at,notes
2023-01,2023,1,network,Gesamtnetz,punctuality_p3,92.53,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-01,2023,1,network,Gesamtnetz,reliability_zg,94.28,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-01,2023,1,network,Gesamtnetz,punctuality_p0,68.01,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-02,2023,2,network,Gesamtnetz,punctuality_p3,93.70,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-02,2023,2,network,Gesamtnetz,reliability_zg,95.10,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-02,2023,2,network,Gesamtnetz,punctuality_p0,68.14,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-03,2023,3,network,Gesamtnetz,punctuality_p3,94.99,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-03,2023,3,network,Gesamtnetz,reliability_zg,93.19,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-03,2023,3,network,Gesamtnetz,punctuality_p0,71.65,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-04,2023,4,network,Gesamtnetz,punctuality_p3,95.76,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-04,2023,4,network,Gesamtnetz,reliability_zg,95.78,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-04,2023,4,network,Gesamtnetz,punctuality_p0,74.38,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-05,2023,5,network,Gesamtnetz,punctuality_p3,94.63,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-05,2023,5,network,Gesamtnetz,reliability_zg,95.13,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-05,2023,5,network,Gesamtnetz,punctuality_p0,71.44,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-06,2023,6,network,Gesamtnetz,punctuality_p3,90.42,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-06,2023,6,network,Gesamtnetz,reliability_zg,93.43,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-06,2023,6,network,Gesamtnetz,punctuality_p0,62.31,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-07,2023,7,network,Gesamtnetz,punctuality_p3,93.99,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-07,2023,7,network,Gesamtnetz,reliability_zg,95.23,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-07,2023,7,network,Gesamtnetz,punctuality_p0,69.13,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-08,2023,8,network,Gesamtnetz,punctuality_p3,94.84,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-08,2023,8,network,Gesamtnetz,reliability_zg,96.33,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-08,2023,8,network,Gesamtnetz,punctuality_p0,71.77,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-09,2023,9,network,Gesamtnetz,punctuality_p3,93.42,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
