period,year,month,entity_scope,entity_id,metric_id,value_percent,comparability_class,source_artifact,source_url,extracted_at,notes
2019-01,2019,1,network,Gesamtnetz,punctuality_p3,96.76,primary_headline,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,network,Gesamtnetz,reliability_zg,96.65,primary_headline,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,network,Gesamtnetz,punctuality_p0,80.18,sensitivity,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2019-01,2019,1,line,S1,punctuality_p3,98.13,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S1,reliability_zg,95.30,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S1,overall_ranking,96.72,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S2,punctuality_p3,98.01,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S2,reliability_zg,98.56,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S2,overall_ranking,98.29,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S25,punctuality_p3,97.31,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
